date,infectados,recuperados,fallecidos,hosp_uci,hosp_sala,aislamiento_dom,pruebas_positivas,prueabas_negativas
2/15/2020,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0
3/9/2020,1,0,0,0,0,4,1,104
3/10/2020,8,0,0,1,1,6,7,34
3/11/2020,14,0,1,1,3,9,6,42
3/12/2020,27,0,1,1,4,21,13,194
3/13/2020,36,0,1,1,4,30,9,239
3/14/2020,43,0,1,2,3,37,7,201
3/15/2020,55,0,1,6,4,44,12,107
3/16/2020,69,0,1,7,4,57,14,83
3/17/2020,86,0,1,8,6,71,17,155
3/18/2020,109,0,1,9,8,91,23,187
3/19/2020,137,0,1,10,11,115,28,285
3/20/2020,200,0,1,11,17,171,63,338
3/21/2020,245,0,3,12,22,208,45,258
3/22/2020,313,0,3,13,29,268,68,559
3/23/2020,345,0,6,17,33,289,32,102
3/24/2020,443,0,6,19,45,373,98,359
3/25/2020,558,2,8,20,46,482,115,443
3/26/2020,674,2,9,23,62,578,116,492
3/27/2020,786,2,14,28,80,662,112,254
3/28/2020,901,4,17,32,95,753,115,425
3/29/2020,989,4,24,36,105,820,88,310
3/30/2020,1075,9,26,43,109,888,86,336
3/31/2020,1181,9,30,50,123,969,106,256
4/1/2020,1317,9,32,63,135,1078,136,253
4/2/2020,1475,10,37,69,152,1207,158,450
4/3/2020,1673,13,41,72,141,1406,198,555
4/4/2020,1801,13,46,75,154,1513,167,395
4/5/2020,1988,13,54,78,163,1680,212,231
4/6/2020,2100,14,55,88,167,1776,123,392
4/7/2020,2249,16,59,91,177,1906,172,295
4/8/2020,2528,16,63,101,194,2154,316,779
4/9/2020,2752,16,66,107,196,2367,220,587
4/10/2020,2974,17,74,104,200,2579,241,824
4/11/2020,3234,23,79,102,213,2817,266,674
4/12/2020,3400,29,87,106,223,2955,172,387
4/13/2020,3472,61,94,105,229,2983,80,340
4/14/2020,3574,72,95,106,230,3071,102,384
4/15/2020,3751,75,103,106,227,3240,193,608
